,detector,n_features,step_size,codebook_size,n_neighbors,distance,method,reduced_dimensions,regular_accuracy,dim_red_accuracy
0,dense_sift,500,50,50,13,manhattan,pca,5,0.8838995568685377,0.8753323485967504
1,dense_sift,500,50,50,13,manhattan,pca,10,0.8838995568685377,0.8807976366322009
2,dense_sift,500,50,50,13,manhattan,pca,15,0.8838995568685377,0.8799113737075333
3,dense_sift,500,50,50,13,manhattan,pca,20,0.8838995568685377,0.879615952732644
4,dense_sift,500,50,50,13,manhattan,pca,25,0.8838995568685377,0.8825701624815362
5,dense_sift,500,50,50,13,manhattan,pca,30,0.8838995568685377,0.8793205317577548
6,dense_sift,500,50,50,13,manhattan,pca,35,0.8838995568685377,0.8825701624815362
7,dense_sift,500,50,50,13,manhattan,pca,40,0.8838995568685377,0.8828655834564254
8,dense_sift,500,50,50,13,manhattan,pca,45,0.8838995568685377,0.8818316100443131
9,dense_sift,500,50,50,13,manhattan,lda,1,0.8838995568685377,0.86602658788774
10,dense_sift,500,50,50,13,manhattan,lda,2,0.8838995568685377,0.8689807976366322
11,dense_sift,500,50,50,13,manhattan,lda,3,0.8838995568685377,0.8682422451994092
12,akaze,200,-,200,13,euclidean,pca,5,0.8502215657311669,0.8505169867060561
13,akaze,200,-,200,13,euclidean,pca,10,0.8502215657311669,0.8505169867060561
14,akaze,200,-,200,13,euclidean,pca,15,0.8502215657311669,0.8502215657311669
15,akaze,200,-,200,13,euclidean,pca,20,0.8502215657311669,0.8503692762186115
16,akaze,200,-,200,13,euclidean,pca,25,0.8502215657311669,0.849778434268833
17,akaze,200,-,200,13,euclidean,pca,30,0.8502215657311669,0.8494830132939438
18,akaze,200,-,200,13,euclidean,pca,35,0.8502215657311669,0.8508124076809453
19,akaze,200,-,200,13,euclidean,pca,40,0.8502215657311669,0.8506646971935007
20,akaze,200,-,200,13,euclidean,pca,45,0.8502215657311669,0.8500738552437223
21,akaze,200,-,200,13,euclidean,lda,1,0.8502215657311669,0.8488921713441654
22,akaze,200,-,200,13,euclidean,lda,2,0.8502215657311669,0.8447562776957164
23,akaze,200,-,200,13,euclidean,lda,3,0.8502215657311669,0.845642540620384
24,sift,300,-,200,13,euclidean,pca,5,0.8512555391432792,0.8511078286558346
25,sift,300,-,200,13,euclidean,pca,10,0.8512555391432792,0.8512555391432792
26,sift,300,-,200,13,euclidean,pca,15,0.8512555391432792,0.8509601181683899
27,sift,300,-,200,13,euclidean,pca,20,0.8512555391432792,0.8512555391432792
28,sift,300,-,200,13,euclidean,pca,25,0.8512555391432792,0.8512555391432792
29,sift,300,-,200,13,euclidean,pca,30,0.8512555391432792,0.8512555391432792
30,sift,300,-,200,13,euclidean,pca,35,0.8512555391432792,0.8512555391432792
31,sift,300,-,200,13,euclidean,pca,40,0.8512555391432792,0.8512555391432792
32,sift,300,-,200,13,euclidean,pca,45,0.8512555391432792,0.8512555391432792
33,sift,300,-,200,13,euclidean,lda,1,0.8512555391432792,0.8500738552437223
34,sift,300,-,200,13,euclidean,lda,2,0.8512555391432792,0.8494830132939438
35,sift,300,-,200,13,euclidean,lda,3,0.8512555391432792,0.8500738552437223
